Temperature (K)	Pressure (MPa)	"Density (l, mol/m3)"	"Volume (l, m3/mol)"	"Internal Energy (l, kJ/mol)"	"Enthalpy (l, kJ/mol)"	"Entropy (l, J/mol*K)"	"Cv (l, J/mol*K)"	"Cp (l, J/mol*K)"	"Density (v, mol/m3)"	"Volume (v, m3/mol)"	"Internal Energy (v, kJ/mol)"	"Enthalpy (v, kJ/mol)"	"Entropy (v, J/mol*K)"	"Cv (v, J/mol*K)"	"Cp (v, J/mol*K)"
284	0.001299934	55484.89995	1.80E-05	0.821237829	0.821261257	2.948372498	75.45432055	75.55959406	0.551033463	1.81477182	43.05310372	45.41218762	159.9586766	25.71968756	34.15011698
285	0.00138903	55479.05083	1.80E-05	0.896783973	0.89680901	3.213912857	75.39738594	75.53314181	0.58675828	1.704279316	43.07778827	45.44508424	159.5236505	25.73559916	34.16976045
286	0.001483456	55472.49329	1.80E-05	0.972304671	0.972331413	3.478433999	75.33920827	75.50870087	0.624480554	1.601330888	43.10246047	45.47796459	159.092536	25.75157873	34.18954829
287	0.00158348	55465.2451	1.80E-05	1.04780187	1.047830419	3.741949831	75.27982571	75.4861436	0.664292794	1.5053603	43.12712001	45.5108282	158.665287	25.76762434	34.20948011
288	0.001689383	55457.32317	1.80E-05	1.123277393	1.123307856	4.004473688	75.21927394	75.46535169	0.706290802	1.415847407	43.15176653	45.54367461	158.2418582	25.78373462	34.22955614
289	0.001801455	55448.74365	1.80E-05	1.198732948	1.198765436	4.26601837	75.15758649	75.44621537	0.75057374	1.332314131	43.17639968	45.57650334	157.8222049	25.7999087	34.24977723
290	0.001919999	55439.52189	1.80E-05	1.274170138	1.27420477	4.526596179	75.09479486	75.42863264	0.797244213	1.254320802	43.20101912	45.60931391	157.4062829	25.81614625	34.27014485
291	0.00204533	55429.67259	1.80E-05	1.349590467	1.349627367	4.78621895	75.03092875	75.41250865	0.846408335	1.181462845	43.22562446	45.64210581	156.9940487	25.83244747	34.29066113
292	0.002177774	55419.20977	1.80E-05	1.42499535	1.425034646	5.044898085	74.96601627	75.39775505	0.898175811	1.11336777	43.25021535	45.67487855	156.5854594	25.8488131	34.31132879
293	0.00231767	55408.14684	1.80E-05	1.500386112	1.500427941	5.302644574	74.90008407	75.38428955	0.952660006	1.049692434	43.2747914	45.70763158	156.1804727	25.86524438	34.33215119
294	0.002465369	55396.49662	1.81E-05	1.575764003	1.575808507	5.559469025	74.83315753	75.3720354	1.009978021	0.990120556	43.29935221	45.74036439	155.7790469	25.88174309	34.35313229
295	0.002621236	55384.2714	1.81E-05	1.651130196	1.651177524	5.815381686	74.76526086	75.360921	1.070250771	0.934360458	43.32389738	45.77307642	155.3811407	25.89831151	34.37427667
296	0.002785649	55371.48293	1.81E-05	1.726485796	1.726536104	6.070392466	74.69641727	75.35087953	1.133603054	0.882143001	43.3484265	45.80576712	154.9867135	25.91495241	34.39558949
297	0.002959	55358.14251	1.81E-05	1.801831842	1.801885294	6.324510957	74.62664905	75.34184859	1.200163631	0.833219716	43.37293916	45.83843591	154.5957252	25.93166907	34.41707649
298	0.003141694	55344.26094	1.81E-05	1.877169314	1.87722608	6.577746449	74.55597771	75.33376994	1.270065296	0.787361093	43.39743492	45.87108222	154.2081362	25.9484652	34.43874398
299	0.003334151	55329.84862	1.81E-05	1.952499135	1.952559394	6.830107953	74.48442407	75.32658916	1.343444953	0.744355024	43.42191335	45.90370545	153.8239075	25.96534501	34.46059882
300	0.003536807	55314.91552	1.81E-05	2.027822176	2.027886115	7.081604211	74.4120083	75.32025546	1.420443686	0.704005382	43.446374	45.93630499	153.4430005	25.98231314	34.48264839
301	0.003750111	55299.47123	1.81E-05	2.103139257	2.103207072	7.332243715	74.33875006	75.31472139	1.50120684	0.666130725	43.47081642	45.96888022	153.0653771	25.99937463	34.50490061
302	0.003974527	55283.52496	1.81E-05	2.178451155	2.178523048	7.58203472	74.26466855	75.30994269	1.585884086	0.630563109	43.49524014	46.00143053	152.6909999	26.01653496	34.52736387
303	0.004210539	55267.08557	1.81E-05	2.253758601	2.253834786	7.830985259	74.18978253	75.30587805	1.674629501	0.59714701	43.51964469	46.03395526	152.3198317	26.03379998	34.55004703
304	0.004458641	55250.16161	1.81E-05	2.329062288	2.329142987	8.079103151	74.11411044	75.30248894	1.767601637	0.565738331	43.54402959	46.06645376	151.9518359	26.05117592	34.57295941
305	0.004719348	55232.76128	1.81E-05	2.404362871	2.404448316	8.326396017	74.0376704	75.29973946	1.864963594	0.536203497	43.56839435	46.09892536	151.5869765	26.06866932	34.59611077
306	0.00499319	55214.89251	1.81E-05	2.479660971	2.479751403	8.572871291	73.96048026	75.29759615	1.966883092	0.508418626	43.59273848	46.13136939	151.2252177	26.08628711	34.61951127
307	0.005280714	55196.56292	1.81E-05	2.554957175	2.555052846	8.818536225	73.88255764	75.29602791	2.073532544	0.482268775	43.61706146	46.16378517	150.8665242	26.10403647	34.64317144
308	0.005582486	55177.77988	1.81E-05	2.630252042	2.630353214	9.063397905	73.80391997	75.29500578	2.185089125	0.457647237	43.64136277	46.19617198	150.5108614	26.12192489	34.66710219
309	0.005899087	55158.55048	1.81E-05	2.7055461	2.705653048	9.307463256	73.7245845	75.29450289	2.301734843	0.434454908	43.6656419	46.22852913	150.1581949	26.13996014	34.69131477
310	0.006231118	55138.88157	1.81E-05	2.780839854	2.780952862	9.550739052	73.64456834	75.29449431	2.423656612	0.412599704	43.68989832	46.26085588	149.8084907	26.15815021	34.71582075
311	0.006579199	55118.77977	1.81E-05	2.856133784	2.856253148	9.793231925	73.56388847	75.29495693	2.551046315	0.391996019	43.71413147	46.29315149	149.4617154	26.17650332	34.74063199
