Temperature (K)	Pressure (MPa)	"Density (l, mol/m3)"	"Volume (l, m3/mol)"	"Internal Energy (l, kJ/mol)"	"Enthalpy (l, kJ/mol)"	"Entropy (l, J/mol*K)"	"Cv (l, J/mol*K)"	"Cp (l, J/mol*K)"	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
434	2								50370	1.99E-05	12.21	12.25	35.119	62.583	78.06	1445.2	-0.13431	169.62	0.68071	liquid
435	2								50316	1.99E-05	12.288	12.328	35.299	62.505	78.116	1442.7	-0.13339	168.49	0.68045	liquid
436	2								50260	1.99E-05	12.366	12.406	35.478	62.428	78.173	1440.3	-0.13245	167.38	0.68017	liquid
437	2								50205	1.99E-05	12.444	12.484	35.657	62.351	78.23	1437.8	-0.13151	166.29	0.67989	liquid
438	2								50149	1.99E-05	12.523	12.562	35.836	62.274	78.288	1435.3	-0.13056	165.21	0.67959	liquid
439	2								50093	2.00E-05	12.601	12.641	36.015	62.197	78.347	1432.8	-0.12959	164.14	0.67929	liquid
440	2								50037	2.00E-05	12.679	12.719	36.193	62.121	78.407	1430.3	-0.12862	163.09	0.67898	liquid
441	2								49981	2.00E-05	12.758	12.798	36.371	62.045	78.467	1427.7	-0.12764	162.05	0.67866	liquid
442	2								49924	2.00E-05	12.836	12.876	36.549	61.97	78.529	1425.2	-0.12665	161.02	0.67833	liquid
443	2								49867	2.01E-05	12.914	12.955	36.727	61.894	78.591	1422.6	-0.12565	160	0.678	liquid
444	2								49810	2.01E-05	12.993	13.033	36.904	61.819	78.655	1419.9	-0.12464	159	0.67765	liquid
445	2								49752	2.01E-05	13.072	13.112	37.081	61.745	78.719	1417.3	-0.12362	158.01	0.6773	liquid
446	2								49694	2.01E-05	13.15	13.191	37.258	61.67	78.784	1414.6	-0.12259	157.04	0.67694	liquid
447	2								49636	2.01E-05	13.229	13.269	37.434	61.596	78.85	1411.9	-0.12155	156.07	0.67657	liquid
448	2								49578	2.02E-05	13.308	13.348	37.61	61.522	78.917	1409.2	-0.12049	155.12	0.67619	liquid
449	2								49519	2.02E-05	13.387	13.427	37.786	61.449	78.984	1406.5	-0.11943	154.17	0.6758	liquid
450	2								49460	2.02E-05	13.466	13.506	37.962	61.376	79.053	1403.7	-0.11835	153.24	0.67541	liquid
451	2								49401	2.02E-05	13.545	13.585	38.138	61.303	79.123	1401	-0.11727	152.32	0.675	liquid
452	2								49342	2.03E-05	13.624	13.665	38.313	61.23	79.194	1398.2	-0.11617	151.42	0.67459	liquid
453	2								49282	2.03E-05	13.703	13.744	38.488	61.158	79.265	1395.3	-0.11506	150.52	0.67417	liquid
454	2								49222	2.03E-05	13.782	13.823	38.663	61.086	79.338	1392.5	-0.11394	149.63	0.67373	liquid
455	2								49162	2.03E-05	13.862	13.902	38.838	61.015	79.412	1389.6	-0.1128	148.75	0.67329	liquid
456	2								49101	2.04E-05	13.941	13.982	39.012	60.943	79.487	1386.7	-0.11166	147.89	0.67284	liquid
457	2								49040	2.04E-05	14.021	14.061	39.186	60.872	79.562	1383.8	-0.1105	147.03	0.67239	liquid
458	2								48979	2.04E-05	14.1	14.141	39.36	60.802	79.639	1380.9	-0.10933	146.18	0.67192	liquid
459	2								48917	2.04E-05	14.18	14.221	39.534	60.731	79.717	1377.9	-0.10814	145.34	0.67144	liquid
460	2								48856	2.05E-05	14.26	14.3	39.708	60.661	79.796	1375	-0.10695	144.52	0.67096	liquid
461	2								48794	2.05E-05	14.339	14.38	39.881	60.591	79.876	1372	-0.10573	143.7	0.67046	liquid
462	2								48731	2.05E-05	14.419	14.46	40.054	60.522	79.958	1368.9	-0.10451	142.89	0.66996	liquid
463	2								48668	2.05E-05	14.499	14.54	40.227	60.453	80.04	1365.9	-0.10327	142.09	0.66945	liquid
464	2								48606	2.06E-05	14.579	14.62	40.4	60.384	80.124	1362.8	-0.10202	141.29	0.66892	liquid
465	2								48542	2.06E-05	14.659	14.7	40.573	60.315	80.209	1359.7	-0.10075	140.51	0.66839	liquid
466	2								48479	2.06E-05	14.739	14.781	40.745	60.247	80.295	1356.6	-0.099469	139.74	0.66785	liquid
467	2								48415	2.07E-05	14.82	14.861	40.917	60.179	80.382	1353.5	-0.098172	138.97	0.6673	liquid
468	2								48350	2.07E-05	14.9	14.941	41.089	60.112	80.471	1350.3	-0.09686	138.21	0.66674	liquid
469	2								48286	2.07E-05	14.981	15.022	41.261	60.044	80.56	1347.1	-0.095532	137.46	0.66617	liquid
470	2								48221	2.07E-05	15.061	15.103	41.433	59.977	80.651	1343.9	-0.094188	136.72	0.66559	liquid
471	2								48156	2.08E-05	15.142	15.183	41.604	59.911	80.744	1340.7	-0.092828	135.98	0.665	liquid
472	2								48090	2.08E-05	15.223	15.264	41.776	59.844	80.837	1337.4	-0.091452	135.26	0.6644	liquid
473	2								48025	2.08E-05	15.303	15.345	41.947	59.778	80.933	1334.2	-0.090059	134.54	0.6638	liquid
474	2								47958	2.09E-05	15.384	15.426	42.118	59.712	81.029	1330.9	-0.088649	133.82	0.66318	liquid
